Period,Banana,Orange
2005M01,0.589057594,0.640124669
2005M02,0.890475953,0.742358258
2005M03,0.792299688,1.109061929
2005M04,0.592502375,1.174966045
2005M05,0.618338234,1.095678323
2005M06,0.485714156,0.934694376
2005M07,0.401317016,0.748688807
2005M08,0.404830693,0.75739683
2005M09,0.594224766,0.74902874
2005M10,0.630394969,0.815135785
2005M11,0.589057594,0.879533584
2005M12,0.645896484,0.84942024
2006M01,0.685511469,0.849751096
2006M02,0.85430575,0.821457597
2006M03,0.825369588,0.808864598
2006M04,0.730293625,0.800334041
2006M05,0.9259572,0.800194137
2006M06,0.654508438,0.665839204
2006M07,0.559776953,0.734400074
2006M08,0.541519613,0.830836577
2006M09,0.544275438,0.878625462
2006M10,0.549442609,1.035996309
2006M11,0.598014025,0.931116787
2006M12,0.657953219,0.792801866
2007M01,0.6393514,0.79708632
2007M02,0.654508438,0.841816423
2007M03,0.647618875,0.811340803
2007M04,0.647618875,0.855839671
2007M05,0.68895625,0.886839832
2007M06,0.778520563,0.935342914
2007M07,0.733738406,1.142484007
2007M08,0.697223725,1.231126279
2007M09,0.664851828,1.032220373
2007M10,0.658651138,0.974507337
2007M11,0.651072516,1.045699532
2007M12,0.647627688,0.925866667
2008M01,0.688965625,1.029648238
2008M02,0.792310469,1.049034042
2008M03,1.026558781,1.230768228
2008M04,0.967307738,1.233717241
2008M05,0.923213938,1.317691309
2008M06,0.868096688,1.414426124
2008M07,0.722035975,1.431691742
2008M08,0.799200125,1.131852563
2008M09,0.802644953,0.923970934
2008M10,0.807467713,0.909825066
2008M11,0.902544969,0.853338308
2008M12,0.830203578,0.761720002
2009M01,0.819869094,0.782885903
2009M02,0.943882906,0.766461247
2009M03,0.909434625,0.847053262
2009M04,0.890143588,0.904522863
2009M05,0.830203578,0.888237913
2009M06,0.854317375,0.816119325
2009M07,0.82675875,0.715359254
2009M08,0.833648406,0.836290037
2009M09,0.818491163,1.030946694
2009M10,0.809534609,1.152614067
2009M11,0.833648406,1.154406415
2009M12,0.795755297,1.013576672
2010M01,0.785420813,1.089261826
2010M02,0.719969078,0.981592416
2010M03,0.8377822,0.95472187
2010M04,0.825036336,0.994728437
2010M05,0.799200125,1.054711551
2010M06,0.962071599,1.201270286
2010M07,0.985220844,1.302411775
2010M08,0.899100141,1.13932707
2010M09,0.880498069,1.046850899
2010M10,0.916324281,1.086323654
2010M11,0.909434625,0.82334876
2010M12,0.899789106,0.723890525
2011M01,0.892182156,0.734611625
2011M02,1.002413156,0.884956948
2011M03,0.996212663,0.852444094
2011M04,1.026526188,0.880969296
